	x	y	theta	v	a	sigma	omega	t
0	-3.88059701492537	-2.2636815920398	-0.912370953011526	0.00010000999911994284	1.000000009988725	0.7499915061845643	0.00010535845916644598	0.08062880482562534
1	-3.8805920809794516	-2.2636879700672132	-0.9123682701636057	0.08113585605555058	1.0000000099883404	0.750000001111194	5.265005649955432e-08	0.1612576096512507
2	-3.8765892685711196	-2.2688623086426127	-0.9101916991352039	0.1617646617136278	1.000000009987929	0.7500000053563048	1.6749167152641995e-08	0.24188641447687603
3	-3.8685862236033466	-2.2791612544961026	-0.905852159303922	0.2423934673578833	1.0000000099874875	0.7500000067067699	-0.1140481118181935	0.3225152193025014
4	-3.8565273430421914	-2.2945413472694787	-0.8993496506710507	0.3230222729975014	1.0000000099870128	0.7408044437582505	-0.4999999761422217	0.4031440241281267
5	-3.840324308912647	-2.314932484825552	-0.8908425887460284	0.4036510786347764	1.0000000099865014	0.7004900432690617	-0.499999993447543	0.48377282895375207
6	-3.819860842257442	-2.340240238619244	-0.8810424773507172	0.4842798842706245	1.0000000099859487	0.660175641384565	-0.4999999989750802	0.5644016337793774
7	-3.7950134468131487	-2.3703611281335015	-0.870215517321017	0.5649086899055014	1.0000000099853494	0.619861239054389	-0.5000000015763664	0.6450304386050028
8	-3.765650447272609	-2.405181044724555	-0.8586056871724385	0.6455374955396649	1.0000000099846973	0.5795468365144737	-0.5000000030105337	0.7256592434306282
9	-3.7316368183355197	-2.4445785418525645	-0.8464388632808693	0.7261663011732744	1.0000000099839845	0.5392324338589226	-0.5000000038548414	0.8062880482562536
10	-3.692838457481543	-2.4884280622664363	-0.8339261860610216	0.8067951068064337	1.0000000099832025	0.4989180311352956	-0.5000000043480273	0.886916853081879
11	-3.649125971950237	-2.5366031749106392	-0.8212668475957848	0.8874239124392133	1.0000000099823403	0.45860362837190327	-0.5000000046010284	0.9675456579075044
12	-3.600378042419695	-2.58897986793606	-0.8086504323747268	0.9680527180716617	1.0000000099813848	0.4182892255881115	-0.5000000046652644	1.0481744627331298
13	-3.5464844212476883	-2.6454399250650824	-0.796258911375712	1.0486815237038127	1.0000000099803201	0.37797482279914035	-0.5000000045580489	1.1288032675587552
14	-3.4873486213928615	-2.7058743985871256	-0.7842683669245603	1.1293103293356894	1.0000000099791257	0.33766042001881386	-0.5000000042711101	1.2094320723843806
15	-3.4228903528715593	-2.77018718196622	-0.7728505090795107	1.2099391349673054	1.000000009977777	0.2973460172616231	-0.500000003769804	1.290060877210006
16	-3.3530477665158354	-2.838298677341881	-0.7621740319967166	1.2905679405986683	1.0000000099762414	0.2570316145448522	-0.5000000029834966	1.3706896820356314
17	-3.2777795696476697	-2.9101495472592	-0.7524058496585638	1.371196746229779	1.0000000099744775	0.21671721189148066	-0.5000000017823102	1.4513184868612568
18	-3.197067084912946	-2.985704535077093	-0.7437122436657233	1.4518255518606313	1.00000000997243	0.17640280933495972	-0.4999999999257877	1.5319472916868822
19	-3.110916331830131	-3.064956334047789	-0.7362599509305768	1.5324543574912137	1.0000000099700246	0.1360884069281284	-0.4999999969443708	1.6125760965125076
20	-3.0193602205622803	-3.147929480420619	-0.7302172156605783	1.6130831631215057	1.0000000099671589	0.0957740047616856	-0.4999999918383554	1.693204901338133
21	-2.9224609590228576	-3.2346842404476006	-0.7257548277052605	1.693711968751478	1.0000000099636865	0.05545960300693513	-0.4999999821986535	1.7738337061637584
22	-2.820312787716336	-3.3253204541248023	-0.7230471679705827	1.774340774381087	1.0000000099593926	0.015145202029422686	-0.49999996108078176	1.8544625109893838
23	-2.7130451717530257	-3.4199812890323145	-0.7222732810581972	1.8549695800102721	1.0000000099539466	-0.025169197245380664	-0.4999999018798584	1.9350913158150091
24	-2.6008265963191994	-3.5188568446986466	-0.7236179954949955	1.9355983856389445	1.000000009946813	-0.06548359174688406	-0.49999962806129805	2.0157201206406343
25	-2.48386913054566	-3.622187530235349	-0.727273112824465	2.016227191266972	1.000000009937064	-0.105797964170724	0.3703467080697267	2.0963489254662595
26	-2.362433945126217	-3.730267113972383	-0.7334386880021998	2.0968559968941456	1.0000000099229387	-0.0759373517279593	0.4999974047493361	2.1769777302918847
27	-2.236837990903476	-3.843445311424497	-0.7380327002943486	2.1774848025201163	1.0000000099006379	-0.035623158567105864	0.4999874693914262	2.25760653511751
28	-2.1069539005442297	-3.961573397399878	-0.7402673194116248	2.258113608144226	1.0000000098601731	0.004690233517713713	-0.03201452959876381	2.338235339943135
29	-1.9725344902875832	-4.084376261421592	-0.7399623364135304	2.3387424137650115	1.0000000097641066	0.0021089402590814955	-0.013673978926890417	2.41886414476876
30	-1.8332766811753087	-4.211521491846887	-0.7398203066043004	2.419371219377991	1.0000000092462409	0.001006423681070304	-0.009363949197387112	2.4994929495943854
31	-1.6891992402126008	-4.343029628055911	-0.7397501908364799	2.5000000249491556	2.8724818952369846e-10	0.00025141964880832625	-0.01381776017025549	2.5801217544200106
32	-1.5403106966871751	-4.478910010987895	-0.7397320911343147	2.500000024972316	-5.468358238768022e-16	-0.0008626898391398126	0.011970177261607607	2.6607505592456357
33	-1.391419693790193	-4.614787699060683	-0.7397941961955271	2.500000024972316	1.0847354601442564e-15	0.0001024512470589007	0.009983246491508887	2.741379364071261
